name,brand,is_promo,promo_price,promo_type,promo_badge,promo_title
Hers Protex Cinnamoroll Daily Comfort Night 20+4 pcs,Hers protex,true,16900.00,null,PROMO SPECIAL,null
Hers Protex Comfort Night Wing 30 cm 20 pcs,Hers protex,true,14500.00,null,PROMO SPECIAL,null
Alfamart Facial Tissue Soft & Smooth 700 g / 700 sheets,Alfamart,true,25900.00,null,PROMO SPECIAL,null
Alfamart Facial Tissue Beli 2 Gratis 1 1 set,Alfamart,true,19900.00,null,PROMO SPECIAL,null
Wardah Moisture Gel Symradiance 399 5% Niacinamide 30 g,Wardah,true,38900.00,null,PROMO SPECIAL,null
Wardah UV Shield Bright-C Hydrating Sunscreen Serum SPF35 40 ml,Wardah,true,32900.00,REGULAR,PROMO SPECIAL,Diskon Spesial
Wardah UV Shield SPF50+ 25 ml / Acne Calming SPF35++ 35 ml,Wardah,true,32900.00,null,PROMO SPECIAL,null
Kahf Face Wash Bright / Acne Gel 100 ml,Kahf,true,39900.00,null,PROMO SPECIAL,null
Kahf Face Wash Acne & Pore Clean Scrub / Exfoliating 100 ml,Kahf,true,36900.00,null,PROMO SPECIAL,null
Kahf Face Wash Energizing & Bright / Oil & Acne Care 100 ml,Kahf,true,37900.00,null,PROMO SPECIAL,null
Shinzu'i Facial Wash Nia-C White / Cica 80+20 ml,Shinzu'i,true,21900.00,null,PROMO SPECIAL,null
Shinzu'i Body Scrub Sakura / Kirei / Matsu 200 g,Shinzu'i,true,15900.00,null,PROMO SPECIAL,null
Clean & Clear Facial Wash Vitamin C / Foaming Face Wash 100 ml,Clean&clear,true,19900.00,null,PROMO SPECIAL,null
KRAFT All In 1 150 g,Kraft,true,14200.00,JSM,PROMO JSM (3 HARI),Promo Jumat Sabtu Minggu
KRAFT Cheddar 150 g,Kraft,true,21500.00,JSM,PROMO JSM (3 HARI),Promo Jumat Sabtu Minggu
KRAFT Quick Melt Mozza 150 g,Kraft,true,26600.00,JSM,PROMO JSM (3 HARI),Promo Jumat Sabtu Minggu
