name,brand,promo_type,promo_title,promo_badge,promo_price,is_promo
" Labore Biome Repair Barrier Revive Cream 50ml (450485)",Labore,null,null,null,210000.00,true
" Slavina Body Lotion Red Opium 200 ml (450314)",Slavina,null,null,null,42000.00,true
" Somethinc Brow Filler Slim Retractable Eyebrow Chocolate (449456)   ",Somethinc,null,null,null,77000.00,true
Alfamart Facial Tissue Beli 2 Gratis 1 1 set,Alfamart,null,null,PROMO SPECIAL,19900.00,true
Alfamart Facial Tissue Soft & Smooth 700 g / 700 sheets,Alfamart,null,null,PROMO SPECIAL,25900.00,true
Alfamart Mi Instan Cup Mala Pedas 80 g,Alfamart,null,null,null,8500.00,true
"ASTA AMBROSIA ASP15S (CKK)    ",ASTA,null,null,null,145000.00,true
"ASTA TEKO ASWK - 01(CKK)    ",ASTA,null,null,null,115000.00,true
Belfoods Fun Chicken Nugget 450g,Belfoods,null,null,null,47900.00,true
Blue Band Serbaguna Sac 200g,Blue Band,null,null,null,8900.00,true
BODIMAX COMPACT BIKE,Bodimax,null,null,null,2120000.00,true
BODIMAX PULL UP BAR,Bodimax,null,null,null,399000.00,true
BRASKITA Beras Porang 40gr X 8Pcs,Braskita,null,null,null,47500.00,true
Clean & Clear Facial Wash Vitamin C / Foaming Face Wash 100 ml,Clean&clear,null,null,PROMO SPECIAL,19900.00,true
Delmonte Ketchup Botol 270ml,Delmonte,null,null,null,10900.00,true
Diabetasol Sweet Zero Box 50g,Diabetasol,null,null,null,23900.00,true
ECENTIO LOTSO LIGHT LUXURY CUP 530ML ET0201B02605 (CKK),ECENTIO,null,null,null,139000.00,true
Fortune Minyak Goreng Pouch 2 L,Fortune,null,null,null,42500.00,true
"FREEMIR YUZI FRYING PAN PINK CKK   ",Freemir,null,null,null,178000.00,true
Glad2Glow Perfect Cover Cushion 02 Praline  (444138),G2G,null,null,null,113200.00,true
"Hanasui Micellar Water Calm & Clear 300 ml (450869)    ",Hanasui,null,null,null,62500.00,true
Hanasui Next Level Coverlock Powder Foundation - N20 Natural Ivory (452141),Hanasui,null,null,null,113000.00,true
Hers Protex Cinnamoroll Daily Comfort Night 20+4 pcs,Hers protex,null,null,PROMO SPECIAL,16900.00,true
Hers Protex Comfort Night Wing 30 cm 20 pcs,Hers protex,null,null,PROMO SPECIAL,14500.00,true
Kahf Face Wash Acne & Pore Clean Scrub / Exfoliating 100 ml,Kahf,null,null,PROMO SPECIAL,36900.00,true
Kahf Face Wash Bright / Acne Gel 100 ml,Kahf,null,null,PROMO SPECIAL,39900.00,true
Kahf Face Wash Energizing & Bright / Oil & Acne Care 100 ml,Kahf,null,null,PROMO SPECIAL,37900.00,true
KENMASTER LUNCH BOX STAINLES 3COMP KM015 (8997015106617),KENMASTER,null,null,null,95000.00,true
"Kodomo Baby Wipes Anti Bac, Hand & Mouth 2X50s",Kodomo,null,null,null,12900.00,true
"Kodomo Baby Wipes Pink, Blue 2X50s",Kodomo,null,null,null,11900.00,true
Maestro Mayonnaise Premium Sac 100g,Maestro,null,null,null,4200.00,true
MamaSuka Seaweed 2x4.5g All Var,MamaSuka,null,null,null,11900.00,true
"Mamy Poko Pants Standar S-38, M-32, L-28",Mamy poko,null,null,null,58900.00,true
Mamy Poko Pants Standar XL-26,Mamy poko,null,null,null,60900.00,true
"Merries Pants Good Skin M-32+2, L-28, XL-26",Merries,null,null,null,61900.00,true
Merries Pants Good Skin S-40,Merries,null,null,null,61900.00,true
Minyak Goreng Bimoli 2 Litur Pouch,Bimoli,null,null,null,34900.00,true
Olymplast Kursi Anak Plastik 1pcs (GREEN) (OK305G),Olymplast,null,null,null,148000.00,true
OLYMPLAST RSO 03,Olymplast,null,null,null,158000.00,true
Pixy Hyperlast Glazed Lip Vinyl 3 gr - 07 Rosewood Blaze (452555),Pixy,null,null,null,73000.00,true
POTENS PANCI SUP CAPSULE BOTTOM + TUTUP KACA 24CM STAINLEES STEEL (BDG),Potens,null,null,null,250000.00,true
Prochiz Gold Slice 12x13g,Prochiz,null,null,null,10700.00,true
Sedaap Mi Instan Cup Ayam Jerit 75 g,Sedaap,null,null,null,5500.00,true
Sedaap Mi Instan Goreng Ayam Krispi 88 g,Sedaap,null,null,null,3100.00,true
Shinzu'i Body Scrub Sakura / Kirei / Matsu 200 g,Shinzu'i,null,null,PROMO SPECIAL,15900.00,true
Shinzu'i Facial Wash Nia-C White / Cica 80+20 ml,Shinzu'i,null,null,PROMO SPECIAL,21900.00,true
"Skintific Perfect Stay Velvet Matte Cushion 03 Refill 11g (447971)    ",Skintific,null,null,null,134000.00,true
"Slavina Eau De Parfum Intense A Day In London 55 ml (453572) ",Slavina,null,null,null,145000.00,true
"Somethinc Forever Stay Comfort Lip Glaze 03 Treschic 3g (465969)  ",Somethinc,null,null,null,109000.00,true
"Sweety Bronze Pants Dry Xpert M-32, L-28",Sweety,null,null,null,49900.00,true
Sweety Bronze Pants Dry Xpert S-38/36+2,Sweety,null,null,null,49900.00,true
Sweety Bronze Pants Dry Xpert XXL-20+3,Sweety,null,null,null,49900.00,true
Sweety Silver / MP Pants XXL-18+4/18,Sweety,null,null,null,55900.00,true
"Sweety Silver Max Pro Pants M-32, L-28",Sweety,null,null,null,57900.00,true
"TAS MARTIN VERSA TR12 HITAM-TIPE 3    ",Martin Versa,null,null,null,160000.00,true
Wardah Moisture Gel Symradiance 399 5% Niacinamide 30 g,Wardah,null,null,PROMO SPECIAL,38900.00,true
Wardah UV Shield SPF50+ 25 ml / Acne Calming SPF35++ 35 ml,Wardah,null,null,PROMO SPECIAL,32900.00,true
