name,brand,promo_type,promo_badge
Clean & Clear Facial Wash Vitamin C / Foaming Face Wash 100 ml,Clean&clear,JSM,PROMO JSM (3 HARI)
Kahf Face Wash Energizing & Bright / Oil & Acne Care 100 ml,Kahf,JSM,PROMO JSM (3 HARI)
Wardah UV Shield SPF50+ 25 ml / Acne Calming SPF35++ 35 ml,Wardah,JSM,PROMO JSM (3 HARI)
Fortune Minyak Goreng Pouch 2 L,Fortune,JSM,PROMO JSM (3 HARI)
Sedaap Mie Goreng All Variant (kec. Mie Goreng 91g & Ayam Crispi 88g) 3 pcs,Sedaap,JSM,PROMO JSM (3 HARI)
Pop Mie Mie Goreng Ayam Gledek / Dower Ayam Pedas Cup 75 g 2 pcs,Pop mie,JSM,PROMO JSM (3 HARI)
Shinzu'i Body Scrub Sakura / Kirei / Matsu 200 g,Shinzu'i,JSM,PROMO JSM (3 HARI)
Kahf Face Wash Acne & Pore Clean Scrub / Exfoliating 100 ml,Kahf,JSM,PROMO JSM (3 HARI)
Alfamart Facial Tissue Soft & Smooth 700 g / 700 sheets,Alfamart,JSM,PROMO JSM (3 HARI)
Sovia Minyak Goreng Pouch 2 L,Sovia,JSM,PROMO JSM (3 HARI)
Indomie Mie Kuah (kec. Indomie Kari Ayam) 5 pcs,Indomie,JSM,PROMO JSM (3 HARI)
Bango Kecap Manis Refill 700 g,Bango,JSM,PROMO JSM (3 HARI)
Aqua Air Mineral PET 600 ml,Aqua,JSM,PROMO JSM (3 HARI)
Alfamart Air Mineral PET 600 ml,Alfamart,JSM,PROMO JSM (3 HARI)
Shinzu'i Facial Wash Nia-C White / Cica 80+20 ml,Shinzu'i,JSM,PROMO JSM (3 HARI)
Kahf Face Wash Bright / Acne Gel 100 ml,Kahf,JSM,PROMO JSM (3 HARI)
Wardah Moisture Gel Symradiance 399 5% Niacinamide 30 g,Wardah,JSM,PROMO JSM (3 HARI)
Hers Protex Comfort Night Wing 30 cm 20 pcs,Hers protex,JSM,PROMO JSM (3 HARI)
Cimory Yogurt Drink No Sugar All Variant 240 ml,Cimory,JSM,PROMO JSM (3 HARI)
Fres & Natural Body Mist All Variant 100 ml,Fres&nat,JSM,PROMO JSM (3 HARI)
SO GOOD Chicken Nugget Crispy 400 g,So good,JSM,PROMO JSM (3 HARI)
"SO GOOD Sosis French Lemon, Itali Hot Trfl 58g, German Cheese 60g",So good,JSM,PROMO JSM (3 HARI)
BENFARM Nugget Premium Chicken Stick 300 g,Benfarm,JSM,PROMO JSM (3 HARI)
Fres & Natural Body Wash All Variant 400 ml,Fres&nat,JSM,PROMO JSM (3 HARI)
Lifebuoy Body Wash All Variant 400 ml,Lifebuoy,JSM,PROMO JSM (3 HARI)
Lifebuoy Body Wash All Variant 800 ml,Lifebuoy,JSM,PROMO JSM (3 HARI)
Pepsodent Travel Kit Soft 1 set,Pepsodent,JSM,PROMO JSM (3 HARI)
Close Up Toothpaste Travel Kit 1 set,Close up,JSM,PROMO JSM (3 HARI)
Systema Sikat Gigi Active Clean 2s,Systema,JSM,PROMO JSM (3 HARI)
Systema Pasta Gigi Spring Fresh 190 g,Systema,JSM,PROMO JSM (3 HARI)
KRAFT All In 1 150 g,Kraft,JSM,PROMO JSM (3 HARI)
ABC Chocomalt / Milk Coffee PET 200 ml,Abc,JSM,PROMO JSM (3 HARI)
Good Day Cappuccino Instant Coffee 10 x 25 g,Good day,JSM,PROMO JSM (3 HARI)
Good Day 3in1 Mocacinno / Chocochino Instant Coffee 10 x 20 g,Good day,JSM,PROMO JSM (3 HARI)
Good Day 3in1 Vanilla Latte Instant Coffee 10 x 20 g,Good day,JSM,PROMO JSM (3 HARI)
Pikopi 3in1 Kopi Mix 9 x 20 g,Pikopi,JSM,PROMO JSM (3 HARI)
Cimory Yogurt Drink PET All Variant 240 ml,Cimory,JSM,PROMO JSM (3 HARI)
Systema Pasta Gigi Menthol Breeze 190 g,Systema,JSM,PROMO JSM (3 HARI)
Systema Pasta Gigi Triple Advance 190 g,Systema,JSM,PROMO JSM (3 HARI)
Pepsodent Pasta Gigi Economy 150 g,Pepsodent,JSM,PROMO JSM (3 HARI)
Pepsodent Pasta Gigi Action 123 Charcoal 160 g,Pepsodent,JSM,PROMO JSM (3 HARI)
Emeron Hair Vitamin Soft & Smooth / Damage Care 6s,Emeron,JSM,PROMO JSM (3 HARI)
Emeron Shampoo Black & Shine / Hair Fall Control / Hijab Clean & Fresh 170 ml,Emeron,JSM,PROMO JSM (3 HARI)
Emeron Shampoo BT21 Anti Hair Fall / Anti Ketombe 200 ml,Emeron,JSM,PROMO JSM (3 HARI)
SO GOOD Chicken Dinobites 400 g,So good,JSM,PROMO JSM (3 HARI)
BENFARM Chicken Sausage 300 g,Benfarm,JSM,PROMO JSM (3 HARI)
KRAFT Quick Melt Mozza 150 g,Kraft,JSM,PROMO JSM (3 HARI)
Alfamart Facial Tissue Beli 2 Gratis 1 1 set,Alfamart,JSM,PROMO JSM (3 HARI)
Hers Protex Cinnamoroll Daily Comfort Night 20+4 pcs,Hers protex,JSM,PROMO JSM (3 HARI)
SO GOOD Chicken Stick Premium 400 g,So good,JSM,PROMO JSM (3 HARI)
BENFARM Honey Chicken Wing 400 g,Benfarm,JSM,PROMO JSM (3 HARI)
KRAFT Cheddar 150 g,Kraft,JSM,PROMO JSM (3 HARI)
Alfamart Minyak Goreng Pouch 2 L,Alfamart,JSM,PROMO JSM (3 HARI)
Sania Minyak Goreng Pouch 2 L,Sania,JSM,PROMO JSM (3 HARI)
Suksess 2 Mie Goreng Rendang 132g / Ayam Kremes 133g / Ayam Kecap 129g / Aceh 140g,Suksess 2,JSM,PROMO JSM (3 HARI)
Bango Kecap Manis Refill 950 g,Bango,JSM,PROMO JSM (3 HARI)
Pikopi Kopi Gula Aren 9 x 22 g,Pikopi,JSM,PROMO JSM (3 HARI)
Alfamart Air Mineral PET 1500 ml,Alfamart,JSM,PROMO JSM (3 HARI)
Nestle Pure Life Air Mineral PET 600 ml (Beli 2),Nestle pure life,JSM,PROMO JSM (3 HARI)
Nestle Pure Life Air Mineral PET 1500 ml (Beli 2),Nestle pure life,JSM,PROMO JSM (3 HARI)
Coca Cola / Sprite / Fanta PET All Variant 390 ml,Coca cola,JSM,PROMO JSM (3 HARI)
Good Day Coffee PET All Variant 250 ml,Good day,JSM,PROMO JSM (3 HARI)
Kapal Api Kopi Bubuk Special 250 g,Kapal api,JSM,PROMO JSM (3 HARI)
