name,brand,promo_type,promo_badge
Clean & Clear Facial Wash Vitamin C / Foaming Face Wash 100 ml,Clean&clear,null,PROMO SPECIAL
Kahf Face Wash Energizing & Bright / Oil & Acne Care 100 ml,Kahf,null,PROMO SPECIAL
Wardah UV Shield SPF50+ 25 ml / Acne Calming SPF35++ 35 ml,Wardah,null,PROMO SPECIAL
Alfamart Facial Tissue Beli 2 Gratis 1 1 set,Alfamart,null,PROMO SPECIAL
Hers Protex Cinnamoroll Daily Comfort Night 20+4 pcs,Hers protex,null,PROMO SPECIAL
Shinzu'i Body Scrub Sakura / Kirei / Matsu 200 g,Shinzu'i,null,PROMO SPECIAL
Kahf Face Wash Acne & Pore Clean Scrub / Exfoliating 100 ml,Kahf,null,PROMO SPECIAL
Wardah UV Shield Bright-C Hydrating Sunscreen Serum SPF35 40 ml,Wardah,REGULAR,PROMO SPECIAL
Alfamart Facial Tissue Soft & Smooth 700 g / 700 sheets,Alfamart,null,PROMO SPECIAL
Shinzu'i Facial Wash Nia-C White / Cica 80+20 ml,Shinzu'i,null,PROMO SPECIAL
Kahf Face Wash Bright / Acne Gel 100 ml,Kahf,null,PROMO SPECIAL
Wardah Moisture Gel Symradiance 399 5% Niacinamide 30 g,Wardah,null,PROMO SPECIAL
Hers Protex Comfort Night Wing 30 cm 20 pcs,Hers protex,null,PROMO SPECIAL
